adset,ad_name,creative,body,headline,description,cta,link
Spring26 | LT | Broad 18-65,SPR26-LT-01-price,creatives/lt-price.png,Pavasario išpardavimas prasidėjo.,Apsipirkti dabar,,SHOP_NOW,https://example.com/spring?market=lt
Spring26 | LT | Broad 18-65,SPR26-LT-02-proof,creatives/lt-proof.png,Daugiau nei 12 000 penkių žvaigždučių įvertinimų.,Patikrinta klientų,,SHOP_NOW,https://example.com/spring?market=lt
Spring26 | LT | Broad 18-65,SPR26-LT-03-ugc,creatives/lt-ugc.png,Išbandžiau viską prieš tai. Šeši mėnesiai – pati pamatykite.,Tikri rezultatai,,SHOP_NOW,https://example.com/spring?market=lt
Spring26 | LT | Broad 18-65,SPR26-LT-04-offer,creatives/lt-offer.png,Nemokamas pristatymas visiems užsakymams.,Nemokamas pristatymas,,SHOP_NOW,https://example.com/spring?market=lt
Spring26 | LV | Broad 18-65,SPR26-LV-01-price,creatives/lv-price.png,Pavasara izpārdošana ir sākusies.,Iepirkties tagad,,SHOP_NOW,https://example.com/spring?market=lv
Spring26 | LV | Broad 18-65,SPR26-LV-02-proof,creatives/lv-proof.png,Vairāk nekā 12 000 piecu zvaigžņu atsauksmju.,Pārbaudīts,,SHOP_NOW,https://example.com/spring?market=lv
Spring26 | LV | Broad 18-65,SPR26-LV-03-ugc,creatives/lv-ugc.png,Es izmēģināju visu pirms tam. Seši mēneši vēlāk.,Īsti rezultāti,,SHOP_NOW,https://example.com/spring?market=lv
Spring26 | LV | Broad 18-65,SPR26-LV-04-offer,creatives/lv-offer.png,Bezmaksas piegāde visiem pasūtījumiem.,Bezmaksas piegāde,,SHOP_NOW,https://example.com/spring?market=lv
Spring26 | PL | Broad 18-65,SPR26-PL-01-price,creatives/pl-price.png,Wyprzedaż wiosenna już trwa.,"Kup teraz,30% taniej",,SHOP_NOW,https://example.com/spring?market=pl
Spring26 | PL | Broad 18-65,SPR26-PL-02-proof,creatives/pl-proof.png,Ponad 12 000 pięciogwiazdkowych opinii.,Sprawdzone przez klientów,,SHOP_NOW,https://example.com/spring?market=pl
Spring26 | PL | Broad 18-65,SPR26-PL-03-ugc,creatives/pl-ugc.png,Próbowałam wszystkiego. Sześć miesięcy później.,Prawdziwe efekty,,SHOP_NOW,https://example.com/spring?market=pl
Spring26 | PL | Broad 18-65,SPR26-PL-04-offer,creatives/pl-offer.png,Darmowa dostawa do każdego zamówienia.,Darmowa dostawa,,SHOP_NOW,https://example.com/spring?market=pl
Spring26 | DE | Broad 18-65,SPR26-DE-01-price,creatives/de-price.png,Der Frühlingssale hat begonnen.,Jetzt shoppen,,SHOP_NOW,https://example.com/spring?market=de
Spring26 | DE | Broad 18-65,SPR26-DE-02-proof,creatives/de-proof.png,Über 12.000 Fünf-Sterne-Bewertungen.,Von Kunden geprüft,,SHOP_NOW,https://example.com/spring?market=de
Spring26 | DE | Broad 18-65,SPR26-DE-03-ugc,creatives/de-ugc.png,Ich habe alles ausprobiert. Sechs Monate später.,Echte Ergebnisse,,SHOP_NOW,https://example.com/spring?market=de
Spring26 | DE | Broad 18-65,SPR26-DE-04-offer,creatives/de-offer.png,Kostenloser Versand für alle Bestellungen.,Gratis Versand,,SHOP_NOW,https://example.com/spring?market=de
Spring26 | ES | Broad 18-65,SPR26-ES-01-price,creatives/es-price.png,Las rebajas de primavera ya están aquí.,Comprar ahora,,SHOP_NOW,https://example.com/spring?market=es
Spring26 | ES | Broad 18-65,SPR26-ES-02-proof,creatives/es-proof.png,Más de 12.000 valoraciones de cinco estrellas.,Verificado por clientes,,SHOP_NOW,https://example.com/spring?market=es
Spring26 | ES | Broad 18-65,SPR26-ES-03-ugc,creatives/es-ugc.png,Lo probé todo antes. Seis meses después.,Resultados reales,,SHOP_NOW,https://example.com/spring?market=es
Spring26 | ES | Broad 18-65,SPR26-ES-04-offer,creatives/es-offer.png,Envío gratis en todos los pedidos.,"Envío gratis,Pide hoy",,SHOP_NOW,https://example.com/spring?market=es
